,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
3522,13ah_3523,339,21.6640149572858,339,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 3, (-2, -3): 27, (-1, -2): 82, (0, -1): 115, (1, 0): 82, (2, 1): 27, (3, 2): 3}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 339}"
3523,13ah_3524,337,21.6661538051755,337,12,-1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-5, -5): 1, (-4, -4): 6, (-3, -3): 19, (-2, -2): 41, (-1, -1): 64, (0, 0): 75, (1, 1): 64, (2, 2): 41, (3, 3): 19, (4, 4): 6, (5, 5): 1}, 'seifert_genus': 5, 'tau': 0, 'total_rank': 337}"
3524,13ah_3525,387,21.6665148191959,387,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -4): 9, (-2, -3): 38, (-1, -2): 88, (0, -1): 115, (1, 0): 88, (2, 1): 38, (3, 2): 9, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 387}"
3525,13ah_3526,345,21.6694202056798,345,16,3,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 14, (-2, -2): 41, (-1, -1): 72, (0, 0): 87, (1, 1): 72, (2, 2): 41, (3, 3): 14, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 345}"
3526,13ah_3527,359,21.6708902636885,359,20,5,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 3, (-3, -4): 16, (-2, -3): 43, (-1, -2): 74, (0, -1): 87, (1, 0): 74, (2, 1): 43, (3, 2): 16, (4, 3): 3}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 359}"
3527,13ah_3528,373,21.6720864549231,373,14,1,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 14, (-2, -2): 43, (-1, -1): 79, (0, 0): 97, (1, 1): 79, (2, 2): 43, (3, 3): 14, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 373}"
3528,13ah_3529,351,21.6735047622182,351,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 6, (-2, -3): 34, (-1, -2): 82, (0, -1): 107, (1, 0): 82, (2, 1): 34, (3, 2): 6}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 351}"
3529,13ah_3530,359,21.6740628449917,359,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-5, -6): 1, (-4, -5): 6, (-3, -4): 20, (-2, -3): 44, (-1, -2): 69, (0, -1): 79, (1, 0): 69, (2, 1): 44, (3, 2): 20, (4, 3): 6, (5, 4): 1}, 'seifert_genus': 5, 'tau': 1, 'total_rank': 359}"
3530,13ah_3531,337,21.6746668877106,337,16,3,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 13, (-2, -2): 39, (-1, -1): 71, (0, 0): 87, (1, 1): 71, (2, 2): 39, (3, 3): 13, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 337}"
3531,13ah_3532,331,21.6749882946539,331,16,1,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 2, (-3, -4): 13, (-2, -3): 39, (-1, -2): 70, (0, -1): 83, (1, 0): 70, (2, 1): 39, (3, 2): 13, (4, 3): 2}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 331}"
3532,13ah_3533,359,21.6749946873509,359,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 6, (-2, -3): 34, (-1, -2): 84, (0, -1): 111, (1, 0): 84, (2, 1): 34, (3, 2): 6}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 359}"
3533,13ah_3534,415,21.6754038818499,415,18,3,-2,Alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-4, -5): 1, (-3, -4): 10, (-2, -3): 42, (-1, -2): 94, (0, -1): 121, (1, 0): 94, (2, 1): 42, (3, 2): 10, (4, 3): 1}, 'seifert_genus': 4, 'tau': 1, 'total_rank': 415}"
3534,13ah_3535,349,21.6768861613937,349,16,3,0,Alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 2, (-3, -3): 14, (-2, -2): 41, (-1, -1): 73, (0, 0): 89, (1, 1): 73, (2, 2): 41, (3, 3): 14, (4, 4): 2}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 349}"
