,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,12-crossing knots
0,12ah_0001,21,3.57388254055914,21,20,Alternating
1,12ah_0002,29,5.19559032464786,29,28,Alternating
2,12ah_0003,33,5.90828681953215,33,16,Alternating
3,12ah_0004,35,5.94574234394357,35,14,Alternating
4,12ah_0005,39,6.28957674619596,39,22,Alternating
5,12ah_0006,37,6.30909039240927,37,12,Alternating
6,12ah_0007,41,6.42667190646042,41,16,Alternating
7,12ah_0008,43,7.51094530120201,43,0,Alternating
8,12ah_0009,41,7.98933933040062,41,28,Alternating
9,12ah_0010,53,8.52376865599321,53,20,Alternating
10,12ah_0011,45,8.52437743027783,45,28,Alternating
11,12ah_0012,47,8.61910506051036,47,22,Alternating
12,12ah_0013,49,8.66385132436352,49,18,Alternating
13,12ah_0014,51,8.66700518696451,51,26,Alternating
14,12ah_0015,59,8.93823051986354,59,8,Alternating
15,12ah_0016,45,8.95936201721876,45,16,Alternating
16,12ah_0017,61,9.05110045558343,61,12,Alternating
17,12ah_0018,61,9.31576850556172,61,6,Alternating
18,12ah_0019,47,9.35693898205061,47,22,Alternating
19,12ah_0020,59,9.37259430405507,59,22,Alternating
20,12ah_0021,61,9.39782451664113,61,6,Alternating
21,12ah_0022,57,9.39889407381258,57,24,Alternating
22,12ah_0023,63,9.59738323580426,63,12,Alternating
23,12ah_0024,55,9.64339890945874,55,0,Alternating
24,12ah_0025,63,9.84192673999226,63,14,Alternating
25,12ah_0026,67,9.90021247388780,67,14,Alternating
26,12ah_0027,63,10.1456575924562,63,26,Alternating
27,12ah_0028,73,10.2085172396327,73,6,Alternating
28,12ah_0029,69,10.2661122582742,69,20,Alternating
29,12ah_0030,69,10.3164599412919,69,2,Alternating
30,12ah_0031,75,10.4260989323069,75,18,Alternating
31,12ah_0032,79,10.5061880522775,79,12,Alternating
32,12ah_0033,67,10.5433029458144,67,18,Alternating
33,12ah_0034,75,10.5958218983119,75,14,Alternating
34,12ah_0035,63,10.6006962809240,63,0,Alternating
35,12ah_0036,71,10.6910675091542,71,4,Alternating
36,12ah_0037,73,10.7151258377839,73,24,Alternating
37,12ah_0038,73,10.7491576390784,73,16,Alternating
38,12ah_0039,77,10.8522157339319,77,6,Alternating
39,12ah_0040,71,10.8527576211383,71,8,Alternating
40,12ah_0041,77,10.8564389948227,77,20,Alternating
41,12ah_0042,69,10.8664181250694,69,16,Alternating
42,12ah_0043,81,10.8760067368791,81,6,Alternating
43,12ah_0044,71,10.8977367267144,71,22,Alternating
44,12ah_0045,79,10.9558403888609,79,18,Alternating
45,12ah_0046,67,10.9754350175618,67,0,Alternating
46,12ah_0047,77,11.0006193310055,77,16,Alternating
47,12ah_0048,79,11.0210417009307,79,14,Alternating
48,12ah_0049,81,11.0314444275439,81,14,Alternating
49,12ah_0050,75,11.1953443420760,75,8,Alternating
50,12ah_0051,67,11.2767778339935,67,12,Alternating
51,12ah_0052,83,11.3739963065726,83,26,Alternating
52,12ah_0053,69,11.3746509850451,69,6,Alternating
53,12ah_0054,91,11.4561264118313,91,12,Alternating
54,12ah_0055,77,11.7022111135579,77,20,Alternating
55,12ah_0056,87,11.7552821380379,87,22,Alternating
56,12ah_0057,83,11.7661859158960,83,22,Alternating
57,12ah_0058,89,11.7736230726707,89,10,Alternating
58,12ah_0059,85,11.7889956872095,85,14,Alternating
59,12ah_0060,81,11.8029213067601,81,12,Alternating
60,12ah_0061,85,11.8740449491610,85,32,Alternating
61,12ah_0062,81,11.8770951343872,81,14,Alternating
62,12ah_0063,81,11.9628480429859,81,28,Alternating
63,12ah_0064,79,11.9725830082781,79,26,Alternating
64,12ah_0065,89,11.9871778805825,89,16,Alternating
65,12ah_0066,87,12.0058707192278,87,22,Alternating
66,12ah_0067,91,12.0060393582975,91,18,Alternating
67,12ah_0068,83,12.0330810754597,83,8,Alternating
68,12ah_0069,95,12.0477355698845,95,14,Alternating
69,12ah_0070,85,12.1380906542357,85,24,Alternating
70,12ah_0071,85,12.1697005889659,85,12,Alternating
71,12ah_0072,97,12.1722594915234,97,16,Alternating
72,12ah_0073,73,12.1805628121432,73,6,Alternating
73,12ah_0074,79,12.1966075536172,79,24,Alternating
74,12ah_0075,101,12.2215641816046,101,10,Alternating
75,12ah_0076,91,12.2318236180786,91,12,Alternating
76,12ah_0077,97,12.2368230545853,97,20,Alternating
77,12ah_0078,89,12.2699793304871,89,2,Alternating
78,12ah_0079,97,12.2712846055708,97,12,Alternating
79,12ah_0080,89,12.3199085999139,89,6,Alternating
80,12ah_0081,91,12.3366743851050,91,26,Alternating
81,12ah_0082,95,12.3384880599953,95,4,Alternating
82,12ah_0083,101,12.3496992628427,101,20,Alternating
83,12ah_0084,91,12.4181995858606,91,26,Alternating
84,12ah_0085,103,12.4555447772560,103,22,Alternating
85,12ah_0086,95,12.4586022776877,95,22,Alternating
86,12ah_0087,85,12.4732987481788,85,6,Alternating
87,12ah_0088,83,12.5153081220438,83,26,Alternating
88,12ah_0089,93,12.5194116300058,93,12,Alternating
89,12ah_0090,97,12.6325833096413,97,24,Alternating
90,12ah_0091,103,12.6661366119100,103,26,Alternating
91,12ah_0092,89,12.6896406868672,89,10,Alternating
92,12ah_0093,107,12.7564312184074,107,10,Alternating
93,12ah_0094,85,12.7667075336534,85,20,Alternating
94,12ah_0095,105,12.7892094992788,105,20,Alternating
95,12ah_0096,103,12.8460898834210,103,14,Alternating
96,12ah_0097,99,12.8676494190173,99,8,Alternating
97,12ah_0098,89,12.8684648104024,89,20,Alternating
98,12ah_0099,105,12.8726122869786,105,10,Alternating
99,12ah_0100,99,12.8730914705486,99,22,Alternating
100,12ah_0101,99,12.8922557474217,99,4,Alternating
101,12ah_0102,89,12.9142013977621,89,28,Alternating
102,12ah_0103,107,12.9219278775840,107,22,Alternating
103,12ah_0104,97,12.9219340295058,97,2,Alternating
104,12ah_0105,103,12.9332700269196,103,18,Alternating
105,12ah_0106,105,12.9374845116447,105,32,Alternating
106,12ah_0107,97,12.9791099938206,97,24,Alternating
107,12ah_0108,103,12.9793071158894,103,18,Alternating
108,12ah_0109,101,13.0204463166943,101,2,Alternating
109,12ah_0110,107,13.0229885117650,107,16,Alternating
110,12ah_0111,99,13.0388741309651,99,12,Alternating
111,12ah_0112,93,13.0486368084986,93,24,Alternating
112,12ah_0113,87,13.0526459885582,87,14,Alternating
113,12ah_0114,91,13.0673144963803,91,24,Alternating
114,12ah_0115,99,13.1175437648148,99,12,Alternating
115,12ah_0116,97,13.1223408946118,97,6,Alternating
116,12ah_0117,113,13.1311158369588,113,20,Alternating
117,12ah_0118,107,13.1415137120776,107,26,Alternating
118,12ah_0119,107,13.1723405972225,107,18,Alternating
119,12ah_0120,103,13.1740771949841,103,30,Alternating
120,12ah_0121,109,13.1743577237682,109,24,Alternating
121,12ah_0122,99,13.1902175770380,99,26,Alternating
122,12ah_0123,111,13.1961012471760,111,26,Alternating
123,12ah_0124,113,13.2200469150508,113,2,Alternating
124,12ah_0125,95,13.2408093682383,95,22,Alternating
125,12ah_0126,115,13.2409940996414,115,10,Alternating
126,12ah_0127,99,13.2523015495036,99,20,Alternating
127,12ah_0128,105,13.2874736771944,105,24,Alternating
128,12ah_0129,119,13.2910053415701,119,18,Alternating
129,12ah_0130,113,13.3172001994727,113,16,Alternating
130,12ah_0131,93,13.3492186142092,93,6,Alternating
131,12ah_0132,105,13.3498548770580,105,20,Alternating
132,12ah_0133,109,13.3537523106345,109,14,Alternating
133,12ah_0134,105,13.3678560126674,105,20,Alternating
134,12ah_0135,111,13.3779671727209,111,18,Alternating
135,12ah_0136,105,13.4123585138011,105,20,Alternating
136,12ah_0137,113,13.4198476424603,113,20,Alternating
137,12ah_0138,111,13.4565921960184,111,8,Alternating
138,12ah_0139,95,13.4811995532391,95,24,Alternating
139,12ah_0140,111,13.4821919833418,111,18,Alternating
140,12ah_0141,117,13.4851219057466,117,16,Alternating
141,12ah_0142,95,13.5020312958697,95,8,Alternating
142,12ah_0143,113,13.5023600148828,113,10,Alternating
143,12ah_0144,107,13.5111257996448,107,4,Alternating
144,12ah_0145,115,13.5232552619085,115,14,Alternating
145,12ah_0146,121,13.5433526801439,121,14,Alternating
146,12ah_0147,109,13.5739042055138,109,12,Alternating
147,12ah_0148,113,13.5807810228013,113,28,Alternating
148,12ah_0149,123,13.6064409264913,123,10,Alternating
149,12ah_0150,91,13.6252672184732,91,12,Alternating
150,12ah_0151,113,13.6509221123407,113,10,Alternating
151,12ah_0152,99,13.6885711931483,99,22,Alternating
152,12ah_0153,99,13.6959247897053,99,12,Alternating
153,12ah_0154,125,13.7322782938981,125,10,Alternating
154,12ah_0155,113,13.7394611576453,113,24,Alternating
155,12ah_0156,119,13.7453195339595,119,26,Alternating
156,12ah_0157,101,13.7600216835576,101,28,Alternating
157,12ah_0158,117,13.7689783255033,117,32,Alternating
158,12ah_0159,115,13.7856954736710,115,26,Alternating
159,12ah_0160,125,13.8327950348411,125,16,Alternating
160,12ah_0161,127,13.8525188694480,127,18,Alternating
161,12ah_0162,127,13.8713073681108,127,8,Alternating
162,12ah_0163,109,13.8799366731139,109,24,Alternating
163,12ah_0164,119,13.8960024460926,119,4,Alternating
164,12ah_0165,111,13.9155998252505,111,10,Alternating
165,12ah_0166,101,13.9171798836068,101,16,Alternating
166,12ah_0167,111,13.9315249464964,111,30,Alternating
167,12ah_0168,127,13.9353414963615,127,22,Alternating
168,12ah_0169,121,13.9630401377974,121,14,Alternating
169,12ah_0170,105,13.9639057373546,105,20,Alternating
170,12ah_0171,121,13.9776364190529,121,12,Alternating
171,12ah_0172,119,13.9904499940628,119,4,Alternating
172,12ah_0173,103,14.0023880286295,103,24,Alternating
173,12ah_0174,109,14.0027042309773,109,20,Alternating
174,12ah_0175,117,14.0160287274848,117,2,Alternating
175,12ah_0176,109,14.0571439177877,109,12,Alternating
176,12ah_0177,127,14.0814457276282,127,14,Alternating
177,12ah_0178,119,14.1195677258241,119,26,Alternating
178,12ah_0179,109,14.1216694789311,109,2,Alternating
179,12ah_0180,131,14.1781759371635,131,18,Alternating
180,12ah_0181,115,14.1940524913117,115,18,Alternating
181,12ah_0182,137,14.2056463409687,137,20,Alternating
182,12ah_0183,97,14.2148389259519,97,18,Alternating
183,12ah_0184,105,14.2173809340968,105,28,Alternating
184,12ah_0185,119,14.2191769254838,119,10,Alternating
185,12ah_0186,115,14.2222497024498,115,30,Alternating
186,12ah_0187,113,14.2263207743077,113,2,Alternating
187,12ah_0188,117,14.2327385704426,117,24,Alternating
188,12ah_0189,111,14.2502296754170,111,8,Alternating
189,12ah_0190,131,14.2537319876303,131,8,Alternating
190,12ah_0191,123,14.2591522148858,123,18,Alternating
191,12ah_0192,109,14.2653628149721,109,18,Alternating
192,12ah_0193,123,14.2744291089011,123,18,Alternating
193,12ah_0194,121,14.2753094157338,121,14,Alternating
194,12ah_0195,109,14.2764684318451,109,32,Alternating
195,12ah_0196,117,14.2868593526302,117,24,Alternating
196,12ah_0197,131,14.2868681452464,131,4,Alternating
197,12ah_0198,139,14.3071981051347,139,14,Alternating
198,12ah_0199,105,14.3094550254591,105,18,Alternating
199,12ah_0200,105,14.3107860292756,105,16,Alternating
200,12ah_0201,137,14.3129592733846,137,12,Alternating
201,12ah_0202,133,14.3160198582257,133,14,Alternating
202,12ah_0203,125,14.3343547106942,125,22,Alternating
203,12ah_0204,133,14.3410684723174,133,24,Alternating
204,12ah_0205,129,14.3522325445705,129,20,Alternating
205,12ah_0206,127,14.4004466873726,127,20,Alternating
206,12ah_0207,115,14.4409464124015,115,26,Alternating
207,12ah_0208,117,14.4430841340309,117,10,Alternating
208,12ah_0209,115,14.4570923856937,115,8,Alternating
209,12ah_0210,133,14.4723380718109,133,32,Alternating
210,12ah_0211,107,14.4823821898454,107,8,Alternating
211,12ah_0212,131,14.4908799260308,131,30,Alternating
212,12ah_0213,109,14.4971805816011,109,16,Alternating
213,12ah_0214,133,14.5044120882019,133,14,Alternating
214,12ah_0215,125,14.5070568384964,125,28,Alternating
215,12ah_0216,129,14.5269204467238,129,24,Alternating
216,12ah_0217,107,14.5383293334290,107,22,Alternating
217,12ah_0218,137,14.5404920605575,137,2,Alternating
218,12ah_0219,123,14.5533866413404,123,22,Alternating
219,12ah_0220,117,14.6066574455314,117,16,Alternating
220,12ah_0221,121,14.6199171334590,121,12,Alternating
221,12ah_0222,143,14.6215419629588,143,16,Alternating
222,12ah_0223,117,14.6215500628465,117,2,Alternating
223,12ah_0224,123,14.6347037714862,123,10,Alternating
224,12ah_0225,119,14.6442275075274,119,14,Alternating
225,12ah_0226,119,14.6650543121537,119,16,Alternating
226,12ah_0227,131,14.6758905037805,131,26,Alternating
227,12ah_0228,133,14.6780794249306,133,24,Alternating
228,12ah_0229,125,14.6950159213593,125,10,Alternating
229,12ah_0230,129,14.7023311899372,129,28,Alternating
230,12ah_0231,149,14.7025913920741,149,16,Alternating
231,12ah_0232,117,14.7070381253158,117,20,Alternating
232,12ah_0233,115,14.7084972251858,115,20,Alternating
233,12ah_0234,129,14.7132947621698,129,24,Alternating
234,12ah_0235,135,14.7285344288085,135,4,Alternating
235,12ah_0236,113,14.7349238970692,113,20,Alternating
236,12ah_0237,117,14.7359965737440,117,20,Alternating
237,12ah_0238,141,14.7396051775900,141,16,Alternating
238,12ah_0239,121,14.7437434551592,121,12,Alternating
239,12ah_0240,135,14.7634735935832,135,10,Alternating
240,12ah_0241,131,14.7725260000646,131,14,Alternating
241,12ah_0242,135,14.7743709211484,135,8,Alternating
242,12ah_0243,119,14.7876896477839,119,8,Alternating
243,12ah_0244,129,14.7884870514846,129,10,Alternating
244,12ah_0245,145,14.8000984007539,145,20,Alternating
245,12ah_0246,127,14.8002073278589,127,26,Alternating
246,12ah_0247,139,14.8161204481806,139,8,Alternating
247,12ah_0248,139,14.8224450441658,139,18,Alternating
248,12ah_0249,127,14.8549105638639,127,18,Alternating
249,12ah_0250,135,14.8599237202359,135,18,Alternating
250,12ah_0251,125,14.8752339304714,125,32,Alternating
251,12ah_0252,129,14.8801286615198,129,14,Alternating
252,12ah_0253,127,14.9064345800361,127,18,Alternating
253,12ah_0254,141,14.9102901174496,141,2,Alternating
254,12ah_0255,123,14.9190768310954,123,22,Alternating
255,12ah_0256,111,14.9243988107408,111,12,Alternating
256,12ah_0257,131,14.9419613475243,131,20,Alternating
257,12ah_0258,153,14.9696015941795,153,20,Alternating
258,12ah_0259,149,14.9820979790805,149,10,Alternating
259,12ah_0260,147,14.9873413450635,147,18,Alternating
260,12ah_0261,125,14.9979127845829,125,20,Alternating
261,12ah_0262,141,15.0026228997659,141,12,Alternating
262,12ah_0263,123,15.0107927106318,123,16,Alternating
263,12ah_0264,119,15.0188585245731,119,8,Alternating
264,12ah_0265,131,15.0350438863853,131,8,Alternating
265,12ah_0266,133,15.0558775146553,133,24,Alternating
266,12ah_0267,145,15.0590899100691,145,22,Alternating
267,12ah_0268,141,15.0680476728896,141,16,Alternating
268,12ah_0269,143,15.0691553734724,143,16,Alternating
269,12ah_0270,141,15.0817917336028,141,10,Alternating
270,12ah_0271,147,15.0836624706276,147,26,Alternating
271,12ah_0272,157,15.0855340493596,157,14,Alternating
272,12ah_0273,135,15.0876722260036,135,22,Alternating
273,12ah_0274,121,15.0908920339281,121,14,Alternating
274,12ah_0275,141,15.0997091261975,141,24,Alternating
275,12ah_0276,139,15.1001722602916,139,8,Alternating
276,12ah_0277,131,15.1066296224338,131,20,Alternating
277,12ah_0278,141,15.1124169644131,141,14,Alternating
278,12ah_0279,133,15.1163295298627,133,28,Alternating
279,12ah_0280,139,15.1287487896998,139,26,Alternating
280,12ah_0281,133,15.1297931448406,133,16,Alternating
281,12ah_0282,119,15.1437527687585,119,10,Alternating
282,12ah_0283,137,15.1466335010432,137,24,Alternating
283,12ah_0284,147,15.1531095385884,147,20,Alternating
284,12ah_0285,149,15.1628737221248,149,12,Alternating
285,12ah_0286,139,15.1719296116976,139,8,Alternating
286,12ah_0287,121,15.1782744581482,121,32,Alternating
287,12ah_0288,145,15.1903565000203,145,20,Alternating
288,12ah_0289,129,15.1907067338533,129,20,Alternating
289,12ah_0290,145,15.1938761761551,145,24,Alternating
290,12ah_0291,115,15.2060392433315,115,12,Alternating
291,12ah_0292,137,15.2194080934448,137,10,Alternating
292,12ah_0293,117,15.2351617191373,117,12,Alternating
293,12ah_0294,147,15.2371259553220,147,20,Alternating
294,12ah_0295,139,15.2382872656487,139,18,Alternating
295,12ah_0296,117,15.2459027166900,117,18,Alternating
296,12ah_0297,137,15.2544960248035,137,22,Alternating
297,12ah_0298,131,15.2575806972854,131,10,Alternating
298,12ah_0299,143,15.2588495878286,143,16,Alternating
299,12ah_0300,137,15.2671347969196,137,20,Alternating
300,12ah_0301,141,15.2746484209077,141,24,Alternating
301,12ah_0302,113,15.2751769977790,113,18,Alternating
302,12ah_0303,135,15.2836007987510,135,10,Alternating
303,12ah_0304,151,15.2850339867102,151,8,Alternating
304,12ah_0305,133,15.2908942140797,133,24,Alternating
305,12ah_0306,147,15.3200380526769,147,18,Alternating
306,12ah_0307,127,15.3259344118484,127,30,Alternating
307,12ah_0308,145,15.3325692897895,145,2,Alternating
308,12ah_0309,143,15.3350057668867,143,16,Alternating
309,12ah_0310,153,15.3417975612762,153,10,Alternating
310,12ah_0311,125,15.3460622237027,125,16,Alternating
311,12ah_0312,149,15.3505597892112,149,14,Alternating
312,12ah_0313,159,15.3638904105882,159,8,Alternating
313,12ah_0314,125,15.3702958200392,125,22,Alternating
314,12ah_0315,139,15.3707956555409,139,14,Alternating
315,12ah_0316,149,15.3715213428544,149,16,Alternating
316,12ah_0317,137,15.3955811275249,137,16,Alternating
317,12ah_0318,127,15.4160272596241,127,18,Alternating
318,12ah_0319,129,15.4178610771821,129,24,Alternating
319,12ah_0320,129,15.4410352305213,129,20,Alternating
320,12ah_0321,155,15.4505057290082,155,18,Alternating
321,12ah_0322,145,15.4563910851700,145,10,Alternating
322,12ah_0323,125,15.4583726925739,125,20,Alternating
323,12ah_0324,131,15.4586842018206,131,26,Alternating
324,12ah_0325,121,15.4641766960618,121,20,Alternating
325,12ah_0326,147,15.4899662281666,147,26,Alternating
326,12ah_0327,151,15.5143859094532,151,18,Alternating
327,12ah_0328,155,15.5336444703208,155,18,Alternating
328,12ah_0329,151,15.5375116244149,151,20,Alternating
329,12ah_0330,161,15.5411126230261,161,12,Alternating
330,12ah_0331,153,15.5437401819986,153,22,Alternating
331,12ah_0332,143,15.5480307581696,143,8,Alternating
332,12ah_0333,157,15.5519204544712,157,24,Alternating
333,12ah_0334,157,15.5546775316991,157,14,Alternating
334,12ah_0335,131,15.5605512971169,131,10,Alternating
335,12ah_0336,149,15.5626033696743,149,12,Alternating
336,12ah_0337,119,15.5686965876417,119,12,Alternating
337,12ah_0338,147,15.5713479954347,147,4,Alternating
338,12ah_0339,163,15.5799381317958,163,4,Alternating
339,12ah_0340,147,15.5821854932221,147,16,Alternating
340,12ah_0341,133,15.5866518418256,133,20,Alternating
341,12ah_0342,145,15.6010587654690,145,24,Alternating
342,12ah_0343,135,15.6014698736589,135,26,Alternating
343,12ah_0344,129,15.6051555203732,129,20,Alternating
344,12ah_0345,135,15.6124735677322,135,18,Alternating
345,12ah_0346,145,15.6169736268057,145,16,Alternating
346,12ah_0347,137,15.6243408852329,137,22,Alternating
347,12ah_0348,143,15.6274976365739,143,30,Alternating
348,12ah_0349,155,15.6339909856754,155,20,Alternating
349,12ah_0350,151,15.6495481072641,151,20,Alternating
350,12ah_0351,149,15.6642412308024,149,24,Alternating
351,12ah_0352,123,15.6845893340881,123,26,Alternating
352,12ah_0353,159,15.6911452414375,159,18,Alternating
353,12ah_0354,165,15.6945673056594,165,10,Alternating
354,12ah_0355,137,15.7029488999824,137,10,Alternating
355,12ah_0356,135,15.7081507035904,135,8,Alternating
356,12ah_0357,143,15.7307572295993,143,4,Alternating
357,12ah_0358,157,15.7357662077275,157,24,Alternating
358,12ah_0359,131,15.7366155513275,131,16,Alternating
359,12ah_0360,167,15.7500481296904,167,16,Alternating
360,12ah_0361,143,15.7574820323869,143,14,Alternating
361,12ah_0362,153,15.7631054535334,153,24,Alternating
362,12ah_0363,161,15.7721806066866,161,10,Alternating
363,12ah_0364,151,15.7799605643298,151,18,Alternating
364,12ah_0365,165,15.7804431170887,165,24,Alternating
365,12ah_0366,167,15.7840834245593,167,16,Alternating
366,12ah_0367,135,15.8153613429156,135,26,Alternating
367,12ah_0368,133,15.8169533054247,133,12,Alternating
368,12ah_0369,151,15.8184173903500,151,30,Alternating
369,12ah_0370,133,15.8446453861766,133,24,Alternating
370,12ah_0371,161,15.8554069690569,161,28,Alternating
371,12ah_0372,175,15.8606505789199,175,8,Alternating
372,12ah_0373,163,15.8654854413652,163,18,Alternating
373,12ah_0374,153,15.8669712691435,153,20,Alternating
374,12ah_0375,153,15.8745994452710,153,24,Alternating
375,12ah_0376,161,15.8872151548371,161,24,Alternating
376,12ah_0377,153,15.8924658529322,153,2,Alternating
377,12ah_0378,163,15.8929493919742,163,18,Alternating
378,12ah_0379,151,15.8999662719932,151,14,Alternating
379,12ah_0380,147,15.9015893800479,147,30,Alternating
380,12ah_0381,155,15.9153560988163,155,4,Alternating
381,12ah_0382,169,15.9166589935800,169,14,Alternating
382,12ah_0383,159,15.9376486609988,159,16,Alternating
383,12ah_0384,135,15.9422011300761,135,4,Alternating
384,12ah_0385,147,15.9551710935194,147,16,Alternating
385,12ah_0386,169,15.9557940192300,169,12,Alternating
386,12ah_0387,137,15.9590945243175,137,28,Alternating
387,12ah_0388,139,15.9619475624439,139,20,Alternating
388,12ah_0389,127,15.9656416922043,127,10,Alternating
389,12ah_0390,177,15.9668517526545,177,12,Alternating
390,12ah_0391,149,15.9995098010912,149,22,Alternating
391,12ah_0392,171,15.9996400279464,171,4,Alternating
392,12ah_0393,137,16.0041288325902,137,20,Alternating
393,12ah_0394,135,16.0215919436890,135,22,Alternating
394,12ah_0395,161,16.0279482565057,161,20,Alternating
395,12ah_0396,151,16.0397270275146,151,8,Alternating
396,12ah_0397,153,16.0422452648515,153,14,Alternating
397,12ah_0398,151,16.0428978267056,151,18,Alternating
398,12ah_0399,161,16.0443991471423,161,20,Alternating
399,12ah_0400,141,16.0515795655682,141,24,Alternating
400,12ah_0401,145,16.0595081310438,145,20,Alternating
401,12ah_0402,135,16.0663028689963,135,16,Alternating
402,12ah_0403,173,16.0682288644812,173,14,Alternating
403,12ah_0404,161,16.0693098267270,161,14,Alternating
404,12ah_0405,141,16.0718585794117,141,16,Alternating
405,12ah_0406,167,16.0841558671919,167,8,Alternating
406,12ah_0407,163,16.0858452278462,163,20,Alternating
407,12ah_0408,157,16.0939860434174,157,14,Alternating
408,12ah_0409,167,16.1063857551916,167,30,Alternating
409,12ah_0410,139,16.1112131429404,139,14,Alternating
410,12ah_0411,179,16.1155267505032,179,18,Alternating
411,12ah_0412,143,16.1195492748431,143,8,Alternating
412,12ah_0413,139,16.1480799391538,139,30,Alternating
413,12ah_0414,165,16.1531911220165,165,2,Alternating
414,12ah_0415,151,16.1616685442015,151,26,Alternating
415,12ah_0416,173,16.1619703492567,173,24,Alternating
416,12ah_0417,137,16.1682121435189,137,20,Alternating
417,12ah_0418,143,16.1736683102984,143,22,Alternating
418,12ah_0419,181,16.1792809505180,181,14,Alternating
419,12ah_0420,153,16.1846316697021,153,22,Alternating
420,12ah_0421,145,16.1960700881093,145,12,Alternating
421,12ah_0422,143,16.2015273887124,143,16,Alternating
422,12ah_0423,151,16.2111591299975,151,18,Alternating
423,12ah_0424,141,16.2242060920333,141,28,Alternating
424,12ah_0425,169,16.2411125627972,169,12,Alternating
425,12ah_0426,149,16.2413039317242,149,22,Alternating
426,12ah_0427,169,16.2426742959351,169,10,Alternating
427,12ah_0428,171,16.2459266006237,171,4,Alternating
428,12ah_0429,159,16.2500087065216,159,16,Alternating
429,12ah_0430,139,16.2518233423129,139,14,Alternating
430,12ah_0431,161,16.2526424177659,161,2,Alternating
431,12ah_0432,169,16.2546754581448,169,12,Alternating
432,12ah_0433,135,16.2612407296689,135,14,Alternating
433,12ah_0434,147,16.2652117685823,147,26,Alternating
434,12ah_0435,157,16.2752091516444,157,20,Alternating
435,12ah_0436,137,16.2759704824326,137,10,Alternating
436,12ah_0437,149,16.2777332291022,149,10,Alternating
437,12ah_0438,153,16.2948651140378,153,22,Alternating
438,12ah_0439,153,16.2948651140378,153,22,Alternating
439,12ah_0440,163,16.2964454446954,163,18,Alternating
440,12ah_0441,155,16.3151942445624,155,18,Alternating
441,12ah_0442,157,16.3231090583303,157,12,Alternating
442,12ah_0443,183,16.3232325667922,183,16,Alternating
443,12ah_0444,165,16.3375342108774,165,12,Alternating
444,12ah_0445,161,16.3522160962929,161,24,Alternating
445,12ah_0446,167,16.3664880234749,167,16,Alternating
446,12ah_0447,149,16.3705655147851,149,10,Alternating
447,12ah_0448,143,16.3765894176835,143,8,Alternating
448,12ah_0449,149,16.3775505397914,149,22,Alternating
449,12ah_0450,157,16.3795842518575,157,32,Alternating
450,12ah_0451,185,16.3977571873506,185,12,Alternating
451,12ah_0452,145,16.4101329453082,145,12,Alternating
452,12ah_0453,145,16.4117089653621,145,28,Alternating
453,12ah_0454,157,16.4188419274743,157,24,Alternating
454,12ah_0455,141,16.4286088043184,141,20,Alternating
455,12ah_0456,141,16.4286088043184,141,20,Alternating
456,12ah_0457,171,16.4308231293299,171,18,Alternating
457,12ah_0458,171,16.4358767786387,171,8,Alternating
458,12ah_0459,159,16.4458562964344,159,26,Alternating
459,12ah_0460,167,16.4558822035897,167,20,Alternating
460,12ah_0461,173,16.4704067471187,173,14,Alternating
461,12ah_0462,169,16.4719360837619,169,12,Alternating
462,12ah_0463,149,16.4732803421973,149,10,Alternating
463,12ah_0464,155,16.4745437674476,155,4,Alternating
464,12ah_0465,145,16.4761211541454,145,24,Alternating
465,12ah_0466,179,16.4799484928579,179,18,Alternating
466,12ah_0467,155,16.4864916628426,155,30,Alternating
467,12ah_0468,153,16.4869783715446,153,24,Alternating
468,12ah_0469,177,16.4951369164690,177,14,Alternating
469,12ah_0470,173,16.4960855672452,173,22,Alternating
470,12ah_0471,181,16.4978346732526,181,22,Alternating
471,12ah_0472,165,16.5026823827151,165,12,Alternating
472,12ah_0473,147,16.5073112694065,147,16,Alternating
473,12ah_0474,159,16.5119861139708,159,14,Alternating
474,12ah_0475,145,16.5230515822557,145,14,Alternating
475,12ah_0476,187,16.5257695685092,187,20,Alternating
476,12ah_0477,171,16.5310646343371,171,18,Alternating
477,12ah_0478,169,16.5327808660098,169,12,Alternating
478,12ah_0479,171,16.5330590858956,171,20,Alternating
479,12ah_0480,155,16.5402540746185,155,30,Alternating
