,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,writh,signature,13-crossing knots,kfh
2385,13nh_2386,85,16.6550664029603,85,14,3,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 2, 'ranks': {(-4, -6): 2, (-3, -5): 8, (-2, -4): 14, (-1, -3): 13, (0, -2): 11, (1, -1): 13, (2, 0): 14, (3, 1): 8, (4, 2): 2}, 'seifert_genus': 4, 'tau': 2, 'total_rank': 85}"
2386,13nh_2387,81,16.6555705311198,65,10,1,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 1, (-2, -2): 6, (-2, -1): 1, (-1, -1): 17, (-1, 0): 2, (0, 0): 25, (0, 1): 2, (1, 1): 17, (1, 2): 2, (2, 2): 6, (2, 3): 1, (3, 3): 1}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 81}"
2387,13nh_2388,89,16.6557140835318,7,16,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-2, -3): 3, (-2, -2): 3, (-1, -2): 12, (-1, -1): 10, (0, -1): 18, (0, 0): 15, (1, 0): 12, (1, 1): 10, (2, 1): 3, (2, 2): 3}, 'seifert_genus': 2, 'tau': 0, 'total_rank': 89}"
2388,13nh_2389,89,16.6557140835318,7,8,-3,2,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-3, -2): 2, (-2, -2): 7, (-2, -1): 7, (-1, -1): 8, (-1, 0): 10, (0, 0): 7, (0, 1): 10, (1, 1): 8, (1, 2): 10, (2, 2): 7, (2, 3): 7, (3, 3): 2, (3, 4): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 89}"
2389,13nh_2390,87,16.6623435120778,87,16,5,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 2, (-2, -3): 9, (-1, -2): 20, (0, -1): 25, (1, 0): 20, (2, 1): 9, (3, 2): 2}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 87}"
2390,13nh_2391,81,16.6630512782571,47,14,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -4): 1, (-2, -3): 6, (-2, -2): 1, (-1, -2): 15, (-1, -1): 4, (0, -1): 20, (0, 0): 7, (1, 0): 15, (1, 1): 4, (2, 1): 6, (2, 2): 1, (3, 2): 1}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 81}"
2391,13nh_2392,125,16.6649451160589,125,10,1,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': True, 'modulus': 2, 'nu': 0, 'ranks': {(-4, -4): 1, (-3, -3): 6, (-2, -2): 15, (-1, -1): 25, (0, 0): 31, (1, 1): 25, (2, 2): 15, (3, 3): 6, (4, 4): 1}, 'seifert_genus': 4, 'tau': 0, 'total_rank': 125}"
2392,13nh_2393,117,16.6652545150076,117,16,3,0,Non-alternating,"{'L_space_knot': False, 'epsilon': 0, 'fibered': False, 'modulus': 2, 'nu': 0, 'ranks': {(-3, -3): 2, (-2, -2): 12, (-1, -1): 27, (0, 0): 35, (1, 1): 27, (2, 2): 12, (3, 3): 2}, 'seifert_genus': 3, 'tau': 0, 'total_rank': 117}"
2393,13nh_2394,97,16.6660499033948,97,22,9,-4,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 2, 'ranks': {(-3, -5): 1, (-2, -4): 10, (-1, -3): 23, (0, -2): 29, (1, -1): 23, (2, 0): 10, (3, 1): 1}, 'seifert_genus': 3, 'tau': 2, 'total_rank': 97}"
2394,13nh_2395,83,16.6669009761049,19,16,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 1, (-3, -3): 1, (-2, -3): 5, (-2, -2): 4, (-1, -2): 12, (-1, -1): 7, (0, -1): 15, (0, 0): 8, (1, 0): 12, (1, 1): 7, (2, 1): 5, (2, 2): 4, (3, 2): 1, (3, 3): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 83}"
2395,13nh_2396,83,16.6669009761049,19,16,3,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': False, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -4): 1, (-3, -3): 1, (-2, -3): 5, (-2, -2): 4, (-1, -2): 12, (-1, -1): 7, (0, -1): 15, (0, 0): 8, (1, 0): 12, (1, 1): 7, (2, 1): 5, (2, 2): 4, (3, 2): 1, (3, 3): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 83}"
2396,13nh_2397,145,16.6674856063436,145,0,-5,4,Non-alternating,"{'L_space_knot': False, 'epsilon': -1, 'fibered': False, 'modulus': 2, 'nu': -1, 'ranks': {(-3, -1): 4, (-2, 0): 17, (-1, 1): 32, (0, 2): 39, (1, 3): 32, (2, 4): 17, (3, 5): 4}, 'seifert_genus': 3, 'tau': -2, 'total_rank': 145}"
2397,13nh_2398,83,16.6709048686795,35,18,5,-2,Non-alternating,"{'L_space_knot': False, 'epsilon': 1, 'fibered': True, 'modulus': 2, 'nu': 1, 'ranks': {(-3, -3): 1, (-2, -3): 4, (-2, -2): 4, (-1, -2): 15, (-1, -1): 5, (0, -1): 21, (0, 0): 4, (1, 0): 15, (1, 1): 5, (2, 1): 4, (2, 2): 4, (3, 3): 1}, 'seifert_genus': 3, 'tau': 1, 'total_rank': 83}"
