,knot_names,kfh_total_ranks,volumes,determinants,jones_poly_degrees,12-crossing knots
0,12nh_001,9,2.82812208833078,1,26,Non-alternating
1,12nh_002,15,4.40083251612305,1,18,Non-alternating
2,12nh_003,13,4.85466333865015,13,14,Non-alternating
3,12nh_004,9,5.85424272206516,9,0,Non-alternating
4,12nh_005,19,5.90408585850810,5,24,Non-alternating
5,12nh_006,13,5.91674573518279,5,28,Non-alternating
6,12nh_007,15,5.98614936306926,7,20,Non-alternating
7,12nh_008,17,6.34376088928950,1,6,Non-alternating
8,12nh_009,15,6.36320924724140,7,24,Non-alternating
9,12nh_010,9,6.45137056039419,7,12,Non-alternating
10,12nh_011,15,6.66361094119390,9,22,Non-alternating
11,12nh_012,21,6.72199328799979,11,20,Non-alternating
12,12nh_013,23,6.75197109993878,9,18,Non-alternating
13,12nh_014,21,7.22351626586071,19,24,Non-alternating
14,12nh_015,17,7.39753978338201,9,30,Non-alternating
15,12nh_016,25,7.50472408520560,25,18,Non-alternating
16,12nh_017,19,7.55500575157557,19,8,Non-alternating
17,12nh_018,25,7.60184747061534,25,6,Non-alternating
18,12nh_019,17,7.64480145988459,17,26,Non-alternating
19,12nh_020,29,7.68149061811687,29,22,Non-alternating
20,12nh_021,23,7.88092507731815,9,26,Non-alternating
21,12nh_022,21,8.01095275362624,5,6,Non-alternating
22,12nh_023,17,8.06616041226217,1,14,Non-alternating
23,12nh_024,19,8.24597547658252,3,14,Non-alternating
24,12nh_025,23,8.24751050753440,23,-2,Non-alternating
25,12nh_026,27,8.27514380204693,13,22,Non-alternating
26,12nh_027,23,8.30820956181783,1,28,Non-alternating
27,12nh_028,23,8.35647229968502,23,20,Non-alternating
28,12nh_029,27,8.36639818848207,27,10,Non-alternating
29,12nh_030,27,8.37238107306915,27,24,Non-alternating
30,12nh_031,21,8.39210362127508,11,2,Non-alternating
31,12nh_032,21,8.46980979382081,5,24,Non-alternating
32,12nh_033,27,8.50178252123129,3,28,Non-alternating
33,12nh_034,23,8.54167140175695,9,12,Non-alternating
34,12nh_035,29,8.56204213645302,3,24,Non-alternating
35,12nh_036,25,8.57314967794006,7,-4,Non-alternating
36,12nh_037,19,8.62358495900230,13,18,Non-alternating
37,12nh_038,21,8.72155498416810,13,30,Non-alternating
38,12nh_039,27,8.79986297555335,5,2,Non-alternating
39,12nh_040,23,8.93345643003705,15,28,Non-alternating
40,12nh_041,29,9.08469458830820,29,28,Non-alternating
41,12nh_042,23,9.18257932623703,15,26,Non-alternating
42,12nh_043,25,9.25636341224820,9,24,Non-alternating
43,12nh_044,27,9.28385748940721,11,0,Non-alternating
44,12nh_045,29,9.32265265075189,5,26,Non-alternating
45,12nh_046,17,9.32745810831997,17,16,Non-alternating
46,12nh_047,21,9.37939180958772,3,26,Non-alternating
47,12nh_048,31,9.40000656828484,25,26,Non-alternating
48,12nh_049,43,9.46292824822053,43,26,Non-alternating
49,12nh_050,25,9.49607378725590,17,24,Non-alternating
50,12nh_051,31,9.54212077830338,9,28,Non-alternating
